Criação das árvores ordenadas:
n_persons	index	time        
65536    	0    	7.029100e-02
65536    	1    	8.740140e-02
65536    	2    	7.964970e-02
65536    	3    	7.088050e-02

Procura de nós nas árvores:
n_persons	index	time        
65536    	0    	6.509650e-02
65536    	1    	1.009216e-01
65536    	2    	8.997970e-02
65536    	3    	5.475210e-02

Maior profundidade das árvores:
n_persons	index	time        	depth
65536    	0    	3.868900e-03	40   
65536    	1    	4.124100e-03	39   
65536    	2    	4.231300e-03	36   
65536    	3    	4.162800e-03	37   

Número de nós em cada nível:
n_persons	index	time        	lvl0  	lvl1  	lvl2  	lvl3  	lvl4  	lvl5  	lvl6  	lvl7  	lvl8  	lvl9  	lvl10 	lvl11 	lvl12 	lvl13 	lvl14 	lvl15 	lvl16 	lvl17 	lvl18 	lvl19 	lvl20 	lvl21 	lvl22 	lvl23 	lvl24 	lvl25 	lvl26 	lvl27 	lvl28 	lvl29 	lvl30 	lvl31 	lvl32 	lvl33 	lvl34 	lvl35 	lvl36 	lvl37 	lvl38 	lvl39 	lvl40 
65536    	0    	3.355200e-03	1     	2     	4     	8     	16    	31    	61    	110   	204   	331   	544   	850   	1248  	1752  	2258  	2736  	3192  	3651  	4082  	4433  	4656  	4803  	4775  	4556  	4191  	3772  	3342  	2800  	2172  	1667  	1193  	829   	519   	328   	201   	107   	59    	33    	13    	5     	1     
65536    	1    	3.195300e-03	1     	2     	4     	8     	16    	32    	63    	124   	233   	423   	736   	1146  	1663  	2272  	2951  	3728  	4464  	5125  	5681  	5925  	5886  	5522  	4958  	4075  	3287  	2469  	1783  	1217  	763   	448   	246   	130   	73    	41    	20    	11    	5     	3     	1     	1     	nan   
65536    	2    	3.956300e-03	1     	2     	4     	8     	16    	31    	61    	117   	226   	417   	722   	1226  	1877  	2763  	3737  	4765  	5569  	6044  	6230  	6059  	5585  	4889  	4085  	3193  	2427  	1831  	1341  	920   	604   	380   	225   	108   	46    	15    	9     	2     	1     	nan   	nan   	nan   	nan   
65536    	3    	1.232300e-02	1     	2     	4     	8     	16    	32    	64    	122   	237   	416   	714   	1151  	1779  	2572  	3523  	4490  	5264  	5910  	6168  	6124  	5714  	5107  	4246  	3507  	2697  	1977  	1364  	925   	595   	370   	220   	118   	58    	20    	11    	6     	3     	1     	nan   	nan   	nan   

Lista de pessoas (índice 0, filtro "John "):
#       	name (0)                       	zip_code (1)                                                   	telephone number (2)	social security number (3)
1       	John Adams                     	11207 Brooklyn (Kings county)                                  	7459 635 865     	435-18-4995            
72      	John Beltran                   	93905 Salinas (Monterey county)                                	9093 721 719     	722-33-1577            
73      	John Benitez                   	87121 Albuquerque (Bernalillo county)                          	3934 189 678     	657-22-0256            
74      	John Benjamin                  	78251 San Antonio (Bexar county)                               	9501 715 236     	417-51-2282            
75      	John Benjamin                  	95687 Vacaville (Solano county)                                	9695 649 650     	175-62-5744            
76      	John Bennett                   	22193 Woodbridge (Prince William county)                       	8257 649 096     	583-06-1059            
77      	John Berg                      	37013 Antioch (Davidson county)                                	9537 296 409     	943-52-4455            
78      	John Bernard                   	33511 Brandon (Hillsborough county)                            	2290 097 384     	289-53-7234            
79      	John Bernard                   	78228 San Antonio (Bexar county)                               	3016 104 630     	499-82-1728            
80      	John Bishop                    	44035 Elyria (Lorain county)                                   	9942 813 086     	148-62-9601            
81      	John Bishop                    	93306 Bakersfield (Kern county)                                	4153 185 315     	461-83-7762            
82      	John Black                     	60608 Chicago (Cook county)                                    	4378 278 133     	150-21-0110            
83      	John Black                     	94513 Brentwood (Contra Costa county)                          	3172 220 186     	482-04-0095            
84      	John Blackwell                 	93307 Bakersfield (Kern county)                                	1788 940 184     	590-15-5824            
85      	John Blankenship               	93274 Tulare (Tulare county)                                   	9468 837 574     	942-41-1099            
86      	John Bonilla                   	30044 Lawrenceville (Gwinnett county)                          	5018 138 794     	573-10-8928            
87      	John Boone                     	60647 Chicago (Cook county)                                    	7914 786 411     	886-69-7391            
88      	John Bowen                     	11210 Brooklyn (Kings county)                                  	2569 967 348     	068-60-4627            
89      	John Boyd                      	33125 Miami (Miami-Dade county)                                	3704 438 000     	470-24-5380            
90      	John Boyd                      	77584 Pearland (Brazoria county)                               	3388 255 479     	748-72-7139            
91      	John Bradford                  	21117 Owings Mills (Baltimore county)                          	2973 641 892     	126-43-2994            
92      	John Bradley                   	10023 New York City (New York county)                          	2170 205 907     	232-65-0427            
93      	John Bradley                   	77095 Houston (Harris county)                                  	7591 690 145     	921-30-9620            
94      	John Brady                     	92324 Colton (San Bernardino county)                           	2212 748 884     	466-10-2665            
95      	John Branch                    	95127 San Jose (Santa Clara county)                            	9294 469 205     	144-75-6739            
96      	John Brennan                   	34711 Clermont (Lake county)                                   	7960 136 770     	463-62-8878            
97      	John Bridges                   	11706 Bay Shore (Suffolk county)                               	7396 408 118     	921-39-6399            
98      	John Brock                     	84118 Salt Lake City (Salt Lake county)                        	1570 999 268     	857-26-4518            
99      	John Brooks                    	10456 Bronx (Bronx county)                                     	7374 900 732     	276-49-9694            
100     	John Brooks                    	22191 Woodbridge (Prince William county)                       	7731 289 803     	729-88-7350            
101     	John Brooks                    	29681 Simpsonville (Greenville county)                         	9272 614 308     	672-71-1538            
102     	John Brooks                    	32808 Orlando (Orange county)                                  	4888 105 127     	977-97-8776            
103     	John Brooks                    	8753 Toms River (Ocean county)                                 	1489 924 621     	887-37-2776            
104     	John Brooks                    	90201 Bell (Los Angeles county)                                	3226 878 547     	047-91-6492            
105     	John Brown                     	10453 Bronx (Bronx county)                                     	4874 160 943     	070-16-6832            
106     	John Brown                     	11221 Brooklyn (Kings county)                                  	7075 249 444     	863-67-7138            
107     	John Brown                     	30040 Cumming (Forsyth county)                                 	6950 131 037     	330-10-4076            
108     	John Brown                     	30043 Lawrenceville (Gwinnett county)                          	7265 077 442     	972-44-8868            
109     	John Brown                     	32218 Jacksonville (Duval county)                              	7332 045 200     	241-66-4331            
110     	John Brown                     	60619 Chicago (Cook county)                                    	3626 410 513     	071-33-6484            
111     	John Brown                     	77433 Cypress (Harris county)                                  	9777 784 931     	300-95-7964            
112     	John Brown                     	77459 Missouri City (Fort Bend county)                         	1040 312 917     	814-05-6769            
113     	John Brown                     	78245 San Antonio (Bexar county)                               	3377 608 095     	236-75-8017            
114     	John Brown                     	78596 Weslaco (Hidalgo county)                                 	2810 525 211     	852-64-3394            
115     	John Brown                     	85326 Buckeye (Maricopa county)                                	8294 846 195     	109-80-9040            
116     	John Brown                     	91911 Chula Vista (San Diego county)                           	6812 053 630     	071-67-1895            
117     	John Brown                     	92553 Moreno Valley (Riverside county)                         	6726 786 952     	124-97-8386            
118     	John Brown                     	94501 Alameda (Alameda county)                                 	7455 847 919     	243-31-1033            
119     	John Bryant                    	30040 Cumming (Forsyth county)                                 	8801 747 113     	771-15-1129            
120     	John Bryant                    	60620 Chicago (Cook county)                                    	1163 157 351     	235-92-9428            
121     	John Bryant                    	75040 Garland (Dallas county)                                  	6166 949 035     	047-80-5905            
122     	John Bryant                    	77573 League City (Galveston county)                           	2338 614 398     	105-19-5093            
123     	John Bryant                    	85281 Tempe (Maricopa county)                                  	1453 612 627     	148-85-5252            
124     	John Buchanan                  	90037 Los Angeles (Los Angeles county)                         	6028 845 803     	138-27-4672            
125     	John Buck                      	11233 Brooklyn (Kings county)                                  	7048 893 276     	190-54-5646            
126     	John Buckley                   	33647 Tampa (Hillsborough county)                              	6524 451 836     	699-91-9561            
127     	John Buckley                   	92683 Westminster (Orange county)                              	1384 112 351     	672-80-7580            
128     	John Buckley                   	94015 Daly City (San Mateo county)                             	1271 841 665     	272-60-1438            
129     	John Burns                     	23462 Virginia Beach (Virginia Beach City county)              	4393 119 000     	602-89-2397            
130     	John Burns                     	92105 San Diego (San Diego county)                             	5815 745 379     	374-16-7030            
131     	John Burns                     	949 Toa Baja (Toa Baja county)                                 	8068 068 821     	280-27-5797            
132     	John Bush                      	11220 Brooklyn (Kings county)                                  	1701 482 122     	302-55-6629            
133     	John Bush                      	30040 Cumming (Forsyth county)                                 	3695 114 296     	276-98-9354            
134     	John Butler                    	77450 Katy (Harris county)                                     	2198 824 983     	399-73-2448            
135     	John Butler                    	93905 Salinas (Monterey county)                                	8637 785 807     	656-67-2698            
136     	John Butler                    	95355 Modesto (Stanislaus county)                              	4503 093 139     	750-82-5813            
137     	John Byrd                      	77346 Humble (Harris county)                                   	8676 486 507     	275-46-7187            
138     	John Cabrera                   	92115 San Diego (San Diego county)                             	1620 509 510     	157-27-7098            
139     	John Cabrera                   	93065 Simi Valley (Ventura county)                             	4833 407 586     	778-84-4184            
140     	John Cain                      	27610 Raleigh (Wake county)                                    	1604 788 766     	894-81-9788            
141     	John Calderon                  	63376 St. Peters (St. Charles county)                          	2024 989 913     	068-57-4809            
142     	John Caldwell                  	48197 Ypsilanti (Washtenaw county)                             	4018 489 138     	631-37-8752            
143     	John Calhoun                   	92336 Fontana (San Bernardino county)                          	8138 739 022     	820-93-0685            
144     	John Campbell                  	11372 Jackson Heights (Queens county)                          	2595 881 280     	720-15-2197            
145     	John Campbell                  	23322 Chesapeake (Chesapeake City county)                      	9652 206 505     	700-45-7260            
146     	John Campbell                  	28027 Concord (Cabarrus county)                                	2404 408 339     	031-10-0425            
147     	John Campbell                  	30263 Newnan (Coweta county)                                   	4130 380 370     	001-58-2714            
148     	John Campbell                  	32210 Jacksonville (Duval county)                              	5999 603 847     	944-30-0901            
149     	John Campbell                  	33027 Hollywood (Broward county)                               	4896 642 720     	528-75-2952            
150     	John Campbell                  	77459 Missouri City (Fort Bend county)                         	2286 569 697     	411-93-7677            
151     	John Campbell                  	92592 Temecula (Riverside county)                              	7521 185 260     	900-69-8665            
152     	John Campbell                  	99301 Pasco (Franklin county)                                  	2353 952 752     	292-93-4876            
153     	John Campos                    	63376 St. Peters (St. Charles county)                          	5466 218 069     	142-85-1013            
154     	John Campos                    	97006 Beaverton (Washington county)                            	5005 549 616     	171-30-3346            
155     	John Cantu                     	53215 Milwaukee (Milwaukee county)                             	8054 140 866     	393-11-0536            
156     	John Cardenas                  	78521 Brownsville (Cameron county)                             	4048 253 637     	296-97-4069            
157     	John Carey                     	91911 Chula Vista (San Diego county)                           	3455 471 254     	513-19-5595            
158     	John Carlson                   	725 Caguas (Caguas county)                                     	1879 886 748     	299-74-1898            
159     	John Carlson                   	92780 Tustin (Orange county)                                   	6501 431 206     	805-28-1591            
160     	John Carpenter                 	11215 Brooklyn (Kings county)                                  	4688 640 764     	974-21-1144            
161     	John Carrillo                  	94544 Hayward (Alameda county)                                 	2383 223 514     	382-41-8498            
162     	John Carter                    	60619 Chicago (Cook county)                                    	7007 257 081     	896-97-1482            
163     	John Carter                    	75243 Dallas (Dallas county)                                   	6546 690 573     	367-37-4305            
164     	John Carter                    	76244 Keller (Tarrant county)                                  	2453 441 260     	242-59-2075            
165     	John Carter                    	78641 Leander (Williamson county)                              	6263 405 351     	550-86-9700            
166     	John Carter                    	83646 Meridian (Ada county)                                    	1464 183 041     	879-23-8992            
167     	John Carter                    	95123 San Jose (Santa Clara county)                            	6371 548 827     	329-50-9349            
168     	John Castillo                  	90805 Long Beach (Los Angeles county)                          	8864 305 642     	916-87-8855            
169     	John Castro                    	11375 Forest Hills (Queens county)                             	8774 982 758     	121-77-8364            
170     	John Castro                    	30062 Marietta (Cobb county)                                   	8317 064 210     	028-91-6540            
171     	John Castro                    	85364 Yuma (Yuma county)                                       	3080 439 111     	375-22-4058            
172     	John Castro                    	94587 Union City (Alameda county)                              	8712 437 295     	593-88-9964            
173     	John Chan                      	10128 New York City (New York county)                          	6192 585 553     	823-11-0040            
174     	John Chan                      	11204 Brooklyn (Kings county)                                  	6817 737 685     	151-18-6388            
175     	John Chandler                  	79936 El Paso (El Paso county)                                 	9452 091 929     	593-65-2532            
176     	John Chandler                  	94565 Pittsburg (Contra Costa county)                          	7834 008 834     	988-78-6886            
177     	John Chang                     	11201 Brooklyn (Kings county)                                  	3190 861 910     	428-73-4643            
178     	John Chang                     	11220 Brooklyn (Kings county)                                  	8387 874 483     	390-59-1102            
179     	John Chang                     	30041 Cumming (Forsyth county)                                 	9949 682 303     	767-05-8852            
180     	John Charles                   	22407 Fredericksburg (Spotsylvania county)                     	3967 337 673     	383-79-5462            
181     	John Chase                     	11373 Elmhurst (Queens county)                                 	4052 006 089     	072-36-8717            
182     	John Chase                     	29681 Simpsonville (Greenville county)                         	2196 836 103     	511-14-4034            
183     	John Chase                     	92562 Murrieta (Riverside county)                              	7443 374 010     	546-71-3586            
184     	John Chavez                    	20002 Washington (District Of Columbia county)                 	5997 210 139     	988-49-9980            
185     	John Chavez                    	27406 Greensboro (Guilford county)                             	4185 373 314     	840-86-6291            
186     	John Chavez                    	92021 El Cajon (San Diego county)                              	4906 858 151     	798-25-5074            
187     	John Chen                      	28277 Charlotte (Mecklenburg county)                           	1191 103 852     	121-87-8998            
188     	John Cherry                    	19120 Philadelphia (Philadelphia county)                       	8623 634 741     	002-09-9486            
189     	John Christensen               	95035 Milpitas (Santa Clara county)                            	9302 130 351     	872-13-3529            
190     	John Christian                 	95076 Watsonville (Santa Cruz county)                          	5641 079 679     	417-67-2200            
191     	John Chung                     	87114 Albuquerque (Bernalillo county)                          	4448 794 655     	654-43-6651            
192     	John Clark                     	11209 Brooklyn (Kings county)                                  	2858 270 613     	614-75-9038            
193     	John Clark                     	11355 Flushing (Queens county)                                 	7922 138 356     	951-24-1570            
194     	John Clark                     	33125 Miami (Miami-Dade county)                                	3492 047 819     	002-54-8951            
195     	John Clark                     	60641 Chicago (Cook county)                                    	2592 046 318     	990-87-0202            
196     	John Clark                     	90280 South Gate (Los Angeles county)                          	9725 364 273     	560-35-6308            
197     	John Clark                     	92021 El Cajon (San Diego county)                              	1495 433 244     	511-43-6260            
198     	John Clark                     	92504 Riverside (Riverside county)                             	8314 425 060     	582-13-4961            
199     	John Clarke                    	95687 Vacaville (Solano county)                                	3329 114 084     	372-89-2671            
200     	John Clay                      	92704 Santa Ana (Orange county)                                	8197 494 457     	417-57-4712            
201     	John Cline                     	95127 San Jose (Santa Clara county)                            	5973 230 408     	803-38-5660            
202     	John Cochran                   	28027 Concord (Cabarrus county)                                	7759 368 999     	847-54-7945            
203     	John Cole                      	11208 Brooklyn (Kings county)                                  	8924 050 655     	721-85-1500            
204     	John Cole                      	60641 Chicago (Cook county)                                    	9803 557 319     	562-62-5681            
205     	John Cole                      	85204 Mesa (Maricopa county)                                   	9948 687 853     	723-75-9783            
206     	John Coleman                   	60632 Chicago (Cook county)                                    	9285 340 477     	249-44-3423            
207     	John Coleman                   	7087 Union City (Hudson county)                                	9985 460 082     	201-95-9572            
208     	John Collins                   	37013 Antioch (Davidson county)                                	9187 765 834     	606-34-8733            
209     	John Collins                   	43230 Columbus (Franklin county)                               	3557 631 724     	539-21-1273            
210     	John Collins                   	91766 Pomona (Los Angeles county)                              	3506 971 334     	173-31-1732            
211     	John Collins                   	92630 Lake Forest (Orange county)                              	4190 406 032     	583-68-6077            
212     	John Collins                   	95035 Milpitas (Santa Clara county)                            	2967 264 618     	477-22-6962            
213     	John Colon                     	10128 New York City (New York county)                          	3606 476 537     	294-26-9729            
214     	John Colon                     	60617 Chicago (Cook county)                                    	7097 389 672     	117-14-2231            
215     	John Compton                   	19120 Philadelphia (Philadelphia county)                       	7162 735 514     	710-60-5315            
216     	John Compton                   	66062 Olathe (Johnson county)                                  	2738 324 805     	104-95-4865            
217     	John Conner                    	91331 Pacoima (Los Angeles county)                             	8074 867 405     	450-29-7395            
218     	John Contreras                 	27858 Greenville (Pitt county)                                 	1985 186 067     	433-83-4306            
219     	John Contreras                 	92704 Santa Ana (Orange county)                                	8754 160 650     	743-31-4642            
220     	John Cook                      	19720 New Castle (New Castle county)                           	3336 138 341     	855-78-2266            
221     	John Cook                      	48197 Ypsilanti (Washtenaw county)                             	4865 215 336     	838-12-0555            
222     	John Cook                      	77077 Houston (Harris county)                                  	3323 109 067     	017-46-2859            
223     	John Cook                      	77346 Humble (Harris county)                                   	4926 382 018     	466-55-6061            
224     	John Cook                      	92504 Riverside (Riverside county)                             	6767 201 716     	464-44-9425            
225     	John Cook                      	94513 Brentwood (Contra Costa county)                          	6238 524 227     	422-49-2879            
226     	John Cook                      	95823 Sacramento (Sacramento county)                           	9141 648 655     	516-74-1121            
227     	John Cooper                    	10977 Spring Valley (Rockland county)                          	3550 125 210     	844-59-4747            
228     	John Cooper                    	30281 Stockbridge (Henry county)                               	8434 803 846     	865-75-4661            
229     	John Cooper                    	91761 Ontario (San Bernardino county)                          	3078 367 414     	596-54-4725            
230     	John Copeland                  	37042 Clarksville (Montgomery county)                          	8257 290 704     	422-83-8860            
231     	John Cordova                   	43130 Lancaster (Fairfield county)                             	3963 660 853     	736-98-3384            
232     	John Cox                       	27587 Wake Forest (Wake county)                                	2345 944 200     	090-32-2735            
233     	John Cox                       	32765 Oviedo (Seminole county)                                 	1972 788 084     	855-76-9148            
234     	John Cox                       	78521 Brownsville (Cameron county)                             	7058 226 096     	603-03-9409            
235     	John Craig                     	95112 San Jose (Santa Clara county)                            	6581 783 843     	145-11-4135            
236     	John Crawford                  	17603 Lancaster (Lancaster county)                             	2991 618 906     	011-22-6748            
237     	John Crosby                    	60632 Chicago (Cook county)                                    	8759 426 938     	297-81-2514            
238     	John Cruz                      	43230 Columbus (Franklin county)                               	4016 494 777     	172-28-6881            
239     	John Cummings                  	976 Trujillo Alto (Trujillo Alto county)                       	3031 238 415     	434-27-9381            
240     	John Cunningham                	60620 Chicago (Cook county)                                    	3251 511 163     	421-07-0852            
241     	John Cunningham                	78245 San Antonio (Bexar county)                               	9173 301 396     	610-02-4724            
242     	John Cunningham                	92126 San Diego (San Diego county)                             	1694 585 456     	918-20-2087            
243     	John Curry                     	11207 Brooklyn (Kings county)                                  	5764 743 255     	692-16-5001            
244     	John Curtis                    	92562 Murrieta (Riverside county)                              	8756 136 594     	801-22-9211            
245     	John Daniel                    	92570 Perris (Riverside county)                                	8910 999 738     	229-30-7984            
246     	John Daniel                    	94501 Alameda (Alameda county)                                 	4402 731 892     	725-70-4669            
247     	John Daniels                   	73160 Oklahoma City (Cleveland county)                         	6882 829 550     	598-76-9081            
248     	John Daugherty                 	83646 Meridian (Ada county)                                    	2158 469 850     	665-33-4422            
249     	John Davidson                  	94536 Fremont (Alameda county)                                 	2187 683 476     	580-82-5186            
250     	John Davidson                  	94538 Fremont (Alameda county)                                 	2911 081 532     	569-73-1187            
251     	John Davis                     	14850 Ithaca (Tompkins county)                                 	1467 658 482     	105-20-9994            
252     	John Davis                     	60625 Chicago (Cook county)                                    	3260 291 115     	613-08-9058            
253     	John Davis                     	84118 Salt Lake City (Salt Lake county)                        	6327 445 434     	628-70-0333            
254     	John Davis                     	93065 Simi Valley (Ventura county)                             	4163 798 371     	759-62-5618            
255     	John Davis                     	93722 Fresno (Fresno county)                                   	6777 212 860     	643-22-6346            
